Nome Attività,Email,Categoria,Comune,Sito Web,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Studio Falcone Ingegneria,antonio.falcone@studiofalcone.eu,Ingegnere,Manfredonia,http://www.studiofalcone.eu,http,Mobirise,No,Aruba S.p.A. Network,65,95,100.00,Sì,No
Guastamacchia Spa,info@guastamacchiaspa.com,Impresa di costruzioni,Ruvo di Puglia,http://www.guastamacchiaspa.com,http,ASP.NET,No,Telecom Italia S.p.A.IPTV Broadband Services,35,72,75.00,Sì,No
SAD Progetti Srl,studio@sadprogetti.com,Ingegnere strutturale,Cassano delle Murge,https://www.sadprogetti.com,https,WordPress,No,Aruba S.p.A. Network,82,83,92.00,Sì,No
Studio Tecnico BFP s.r.l.,info@bfpgroup.net,Geometra,Modugno,https://bfpgroup.net,https,WordPress,No,Netsons Network,60,92,69.00,Sì,No
De Pascale Ing. Giovanni,info@depascaleingegneria.it,Geometra,Gravina in Puglia,https://www.depascaleingegneria.it,https,WordPress,No,Aruba S.p.A. Network,74,93,77.00,Sì,No
STUDIO TECNICO Geom. GIUSEPPE ROMANO,studiogiusepperomano@libero.it,Geometra,Gioia del Colle,http://studiogiusepperoma.wixsite.com/studiotecnicoggr,http,Wix,No,Google LLC,74,87,100.00,Sì,No
Studio Tecnico Associato Del Dott.Ing.Michele Masciave' E Dott.Geol.Mi,info@studiotecnicomm.it,Ingegnere,Corato,http://studiotecnicomm.it,http,React,Sì,Netsons s.r.l.,71,90,92.00,Sì,No
I-MAD s.r.l.,info@i-mad.it,Geometra,Sammichele di Bari,http://www.i-mad.it,http,React,No,Armada WAN,63,95,83.00,Sì,No
Geometra mattesi,info@mattesi.it,Geometra,Faggiano,http://www.mattesi.it,http,ASP.NET,No,Aruba S.p.A. Network,80,98,100.00,Sì,No
Asioma del Geom. Massimo Pistoia,info@asioma.it,Geometra,Ginosa,http://asioma.it,http,ASP.NET,No,Aruba S.p.A. Network,99,100,91.00,Sì,No
Studio Tecnico Geom. Alessandro Caragnano,studio.tecnico@immobilservizi.com,Geometra,Taranto,http://www.immobilservizi.com,http,WordPress,Sì,Aruba S.p.A. Network,63,67,92.00,Sì,No
Studio Tecnico Co.Se.Pro.,ingsannelli@gmail.com,Ingegnere,Ginosa,http://www.coseprostudio.it,http,Basekit,No,Aruba S.p.A.,73,70,100.00,Sì,No
Studio tecnico Geometra Cristian Mandorino,mandorinocristian@gmail.com,Geometra,Lecce,https://cristianmandorino.it,https,WordPress,Sì,Netsons s.r.l.,65,81,100.00,Sì,No
Geo Engineering,giove.caprino@gmail.com,Ingegnere,Fragagnano,http://www.studiotecnicogeoeng.com,http,React,No,Amazon Technologies Inc.,66,93,100.00,Sì,No
F.C. Tecno Studio Geom. Fabio Conte,fc.tecnostudio@gmail.com,Geometra,Taranto,https://fctecnostudio.com,https,React,No,"Amazon.com, Inc.",63,94,83.00,Sì,No
Studio Tecnico Pignataro,studiotecnicopignataro@gmail.com,Geometra,Manduria,http://www.studiopignataro.geometra.it,http,ASP.NET,No,Aruba S.p.A. Network,69,96,83.00,Sì,No
Apollinare Costruzioni,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,Impresa di costruzioni,Laterza,https://www.apollinarecostruzioni.com,https,Wix,Sì,Google LLC,67,83,100.00,Sì,No
Studio Tecnico Professionisti Messapici Ass. Massari Dinoi Iunco,professionistimessapici@virgilio.it,Geometra,Manduria,http://professionistimess.wixsite.com/professionistimessap,http,React,No,Google LLC,69,93,92.00,Sì,No
Dott. Geom. Carlo Zito,carlozito@gmail.com,Geometra,Martina Franca,http://www.studiotecnicozito.it,http,Joomla,No,Aruba S.p.A. Network,67,88,83.00,Sì,No
Cading,info@cadingpro.com,Geometra,Monopoli,http://cadingpro.com,http,WordPress,No,Aruba S.p.A.,60,76,85.00,Sì,No
il legno del geom. arborea gaetano,info@illegno.eu,Impresa di costruzioni,Rutigliano,http://www.illegno.eu,http,Joomla,Sì,Server Plan S.r.l.,65,91,92.00,Sì,No
Rodonea Srl,luigi.dagostino@rodonea.com,Geometra,Monopoli,http://www.rodonea.com,http,WordPress,No,Aruba S.p.A.,48,78,92.00,Sì,No
Studio Tecnico Ingegnere Longo,info@danielelongo.it,Ingegnere,Polignano a Mare,http://www.danielelongo.it,http,WordPress,Sì,Aruba S.p.A.,39,69,77.00,Sì,No
Home Apulia - Geometra Urgesi Gianluca,geom.gianlucaurgesi@gmail.com,Geometra,Ceglie Messapica,https://www.homeapulia.com,https,Shopify,No,Hetzner Online GmbH,50,55,92.00,Sì,No
Geometra Luciano Bufano - Studio Tecnico StruCtura,lucianogeometra@yahoo.it,Geometra,Ceglie Messapica,http://www.geometralucianobufano.it,http,WordPress,No,Aruba S.p.A. Network,63,89,92.00,Sì,No
Geometra Pietro Zimbardi,info@geometrazimbardi.it,Geometra,Massafra,http://www.geometrazimbardi.it,http,WordPress,Sì,Servereasy Italy,60,64,77.00,Sì,No
Geometra Gasparre Vito,vitogasparre@libero.it,Geometra,Massafra,https://www.geometravitogasparre.com,https,React,Sì,Google LLC,59,73,100.00,Sì,No
Studio tecnico Geom. Domenico Solazzo,studiotecnicosolazzo@libero.it,Geometra,San Pietro Vernotico,https://geomdomenicosolazzo.com,https,Duda,No,"Cloudflare London, LLC",76,96,91.00,Sì,No
Geom. Giuseppe Miccoli Costruzioni Srl Unipersonale,info@miccolicostruzioni.it,Impresa di costruzioni,Torre Santa Susanna,http://www.miccolicostruzioni.it,http,React,No,Aruba S.p.A.,56,82,92.00,Sì,No
Architetto Gabriella STEFANELLI,info@architettostefanelli.it,Architetto,Botrugno,http://www.architettostefanelli.it,http,Shopify,No,Planetel SPA,70,90,92.00,Sì,No
T-STUDIO Geom. Giuseppe Corvaglia,g.corvaglia@t-studio.org,Geometra,Spongano,http://www.t-studio.org,http,WordPress,No,Aruba S.p.A. Network,59,94,92.00,Sì,No
Studio Tecnico Dott. Ing. Claudio Schiavano,ing.schiavano@libero.it,Ingegnere,Casarano,http://www.ingegnere-schiavano.webnode.it,http,ASP.NET,No,Amazon Technologies Inc.,71,99,92.00,Sì,No
Studio Gruppo Cinque Di Vincenzo Cavallo & C. S.A.S.,sgcinque@libero.it,Geometra,Brindisi,http://www.sg5engineering.it,http,React,No,Aruba S.p.A. Network,62,92,100.00,Sì,No
Studio Tecnico de Pasquale,addepa@gmail.com,Geometra,San Ferdinando di Puglia,http://dronepuglia.it,http,WordPress,No,Aruba S.p.A. Network,39,69,85.00,Sì,No
Studio Tecnico Ingg. ROMANO Ingegneria ed Architettura,ingegneriromano@gmail.com,Ingegnere,Galatina,http://www.ingegneriromano.com,http,ASP.NET,No,Aruba S.p.A. Network,99,100,91.00,Sì,No
STUDIO TECNICO Geom. Vincenzo Grande,geom.vincenzogrande@gmail.com,Geometra,San Donaci,https://geomvincenzogrande.wixsite.com/studio-tecnico-geome,https,React,No,Google LLC,68,85,85.00,Sì,No
F.A.G. Costruzioni S.R.L. Geom. Felline,fagcostruzioni@libero.it,Impresa di costruzioni,Matino,https://www.fagcostruzioni.com,https,WordPress,No,Aruba S.p.A.,57,75,100.00,Sì,No
Giano Group - Gruppo immobiliare,info@giano-group.it,Consulente immobiliare,Ugento,https://www.giano-group.it,https,Shopify,Sì,OVH ISP,61,80,92.00,Sì,No
GGGRECO s.r.l,gggreco1@gmail.com,Geometra,Veglie,https://gggreco.it,https,React,Sì,Netsons s.r.l.,72,89,100.00,Sì,No
IMPRESA EDILE GEOM. PIERPAOLO STOMEO,info@ediliziastomeo.it,Impresa di costruzioni,Martano,http://www.ediliziastomeo.it,http,WordPress,No,Servereasy Srl,62,0,0.00,Sì,No
Geom. Vincenzo Di Schiena,vincenzodischiena@libero.it,Geometra,Andria,https://www.studiotecnicodischiena.it,https,React,No,Aruba S.p.A.,65,80,92.00,Sì,No
Sansonne Geom. Nicola,nicola.sansonne@geopec.it,Geometra,Andria,https://studiosansonne.it,https,Shopify,Sì,Netsons Network,69,91,100.00,Sì,No
Fusiello Costruzioni,amministrazione@fusiellocostruzioni.it,Geometra,Andria,http://www.fusiellocostruzioni.it,http,React,Sì,Google LLC,48,94,100.00,Sì,No
GEOMETRA - Farina Ruggiero,albertodilillo@edilservicebarletta.com,Geometra,Barletta,http://www.edilservicebarletta.com,http,React,Sì,Hetzner Online GmbH,41,72,100.00,Sì,No
Studio Tecnico Ing. Matteo Greco - Ingegneria Meccanica ed Innovazione,info@grecolab.it,Ingegnere,Soleto,http://www.grecolab.it,http,WordPress,No,Aruba S.p.A.,42,64,92.00,Sì,No
geom. Franco D'Avenia,info@geometradavenia.it,Geometra,Minervino Murge,http://www.geometradavenia.it,http,React,Sì,Aruba S.p.A,60,78,92.00,Sì,No
Studio Tecnico Geometra Beggiato - Studio nZEB,info@studionzeb.it,Geometra,Tricase,https://sites.google.com/studionzeb.it/home,https,React,No,Google LLC,62,93,50.00,Sì,No
Studio Tecnico Siciliano,info@studiotecnicosiciliano.com,Architetto,Salve,http://www.studiotecnicosiciliano.com,http,Wix,Sì,Google LLC,67,95,100.00,Sì,No
